valid_time,u10,v10,fg10,d2m,t2m,msl,tp,latitude,longitude,t2m_c,d2m_c,msl_hpa,tp_mm,wind_speed,wind_dir_deg,relative_humidity_approx,hour,day,month,year,dayofyear,date,rain_flag,hour_sin,hour_cos,doy_sin,doy_cos,t2m_c_lag1,t2m_c_lag2,t2m_c_lag3,t2m_c_lag6,t2m_c_lag12,t2m_c_lag24,msl_hpa_lag1,msl_hpa_lag2,msl_hpa_lag3,msl_hpa_lag6,msl_hpa_lag12,msl_hpa_lag24,wind_speed_lag1,wind_speed_lag2,wind_speed_lag3,wind_speed_lag6,wind_speed_lag12,wind_speed_lag24,d2m_c_lag1,d2m_c_lag2,d2m_c_lag3,d2m_c_lag6,d2m_c_lag12,d2m_c_lag24,t2m_c_rollmean3,t2m_c_rollstd3,t2m_c_rollmean6,t2m_c_rollstd6,t2m_c_rollmean24,t2m_c_rollstd24,msl_hpa_rollmean3,msl_hpa_rollstd3,msl_hpa_rollmean6,msl_hpa_rollstd6,msl_hpa_rollmean24,msl_hpa_rollstd24,tp_mm_rollmean3,tp_mm_rollstd3,tp_mm_rollmean6,tp_mm_rollstd6,tp_mm_rollmean24,tp_mm_rollstd24,target_t2m_h1
2024-01-02 00:00:00,-1.400528,-0.22076416,2.697132,286.4846,287.4621,101582.69,0.0,23.25,80.0,14.312100000000044,13.334600000000025,1015.8269,0.0,1.4178206844042394,261.0422159916321,93.85087971378584,0,2,1,2024,2,2024-01-02,0,0.0,1.0,0.03439806061360801,0.9994082116062598,13.296660000000031,13.586880000000008,14.69457,16.06450000000001,22.68190000000004,13.05460000000005,1015.8419,1015.79875,1015.5756,1016.35875,1013.9744,1016.6675,1.32693686693137,1.3556557277126364,1.5696387337019944,1.886119105325244,1.880205092357746,1.7772379595973906,12.95750000000004,13.186200000000042,13.280240000000047,13.949550000000045,17.028920000000028,11.619230000000016,13.859370000000013,0.7377168780095069,14.835493333333346,1.2161322682943523,18.21846750000002,4.1877196196282735,1015.73875,0.14292978171016885,1015.8780166666667,0.25776504935034333,1016.0516645833333,1.4616169329888096,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,14.335700000000031
2024-01-02 01:00:00,-1.4169006,-0.04611206,2.7184,286.45398,287.4857,101647.875,0.0,23.25,80.0,14.335700000000031,13.303980000000024,1016.47875,0.0,1.4176507441389798,268.13600596755646,93.52091563466382,1,2,1,2024,2,2024-01-02,0,0.25881904510252074,0.9659258262890683,0.03439806061360801,0.9994082116062598,14.312100000000044,13.296660000000031,13.586880000000008,16.181970000000035,22.270200000000045,12.88530000000003,1015.8269,1015.8419,1015.79875,1015.8531,1014.1875,1016.9756,1.4178206844042394,1.32693686693137,1.3556557277126364,1.7083496582630764,1.8895513955919645,1.8157925917857929,13.334600000000025,12.95750000000004,13.186200000000042,13.947720000000004,17.07778000000002,11.573270000000036,13.731880000000027,0.5230184971873599,14.543426666666685,1.0626903629876259,18.270863333333356,4.127738568236869,1015.8225166666666,0.021906410773891785,1015.789375,0.1063751933012109,1016.0166395833334,1.4562799121001975,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,14.868300000000032
2024-01-02 02:00:00,-0.9458771,-0.29647827,2.7874653,286.6198,288.0183,101727.875,0.0,23.25,80.0,14.868300000000032,13.46980000000002,1017.27875,0.0,0.991253172951594,252.5967813659524,91.34264487838554,2,2,1,2024,2,2024-01-02,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,14.335700000000031,14.312100000000044,13.296660000000031,15.188379999999997,20.43383,13.670980000000045,1016.47875,1015.8269,1015.8419,1015.84,1015.2119,1017.75125,1.4176507441389798,1.4178206844042394,1.32693686693137,1.6176781939891662,1.914274588304541,1.605894651873243,13.303980000000024,13.334600000000025,12.95750000000004,13.337950000000037,16.15536000000003,11.966200000000017,13.981486666666703,0.593194666642789,14.235715000000019,0.6981061999367282,18.331296666666688,4.05544591636724,1016.0491833333334,0.3720912399301971,1015.8936500000001,0.30414331161469477,1015.9959375,1.44554686990689,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,14.85238000000004
2024-01-02 03:00:00,-0.8031769,-0.33641052,3.4617505,286.63654,288.00238,101763.0,0.0,23.25,80.0,14.85238000000004,13.486540000000048,1017.63,0.0,0.8707842273837304,247.2736348022255,91.53604235977794,3,2,1,2024,2,2024-01-02,0,0.7071067811865475,0.7071067811865476,0.03439806061360801,0.9994082116062598,14.868300000000032,14.335700000000031,14.312100000000044,14.69457,18.208640000000003,14.329920000000016,1017.27875,1016.47875,1015.8269,1015.5756,1015.845,1018.3256,0.991253172951594,1.4176507441389798,1.4178206844042394,1.5696387337019944,1.9535755383473277,1.5667789953058842,13.46980000000002,13.303980000000024,13.334600000000025,13.280240000000047,14.813350000000014,12.044550000000015,14.505366666666703,0.314530909980942,14.182368333333358,0.6184301594980465,18.38118500000002,4.002644878478319,1016.5281333333334,0.7271837050101793,1016.1334416666667,0.6376737719373204,1015.97625,1.4236529241630582,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,15.69607000000002
2024-01-02 04:00:00,-0.42851257,0.09220886,3.7103436,287.31396,288.84607,101804.81,0.0,23.25,80.0,15.69607000000002,14.163960000000031,1018.0481,0.0,0.4383212252566655,282.1439322856546,90.60875311360697,4,2,1,2024,2,2024-01-02,0,0.8660254037844386,0.5000000000000001,0.03439806061360801,0.9994082116062598,14.85238000000004,14.868300000000032,14.335700000000031,13.586880000000008,18.301500000000036,15.126430000000028,1017.63,1017.27875,1016.47875,1015.79875,1016.4456,1018.8006,0.8707842273837304,0.991253172951594,1.4176507441389798,1.3556557277126364,1.9678900880026864,1.5901435094765033,13.486540000000048,13.46980000000002,13.303980000000024,13.186200000000042,14.871759999999997,12.478600000000029,14.685460000000035,0.30300561842993656,14.208670000000032,0.6472547768847444,18.40295416666669,3.9810156102201706,1017.1291666666666,0.5900216274273071,1016.4758416666667,0.8072437249164651,1015.9472666666667,1.3801606514606677,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,19.35170000000005
2024-01-02 05:00:00,0.088409424,0.7509308,4.040282,288.61407,292.5017,101756.875,0.0,23.25,80.0,19.35170000000005,15.46407000000005,1017.56875,0.0,0.7561172479454835,6.714700235132057,78.23031865766012,5,2,1,2024,2,2024-01-02,0,0.9659258262890683,0.25881904510252074,0.03439806061360801,0.9994082116062598,15.69607000000002,14.85238000000004,14.868300000000032,13.296660000000031,16.28576000000004,19.764250000000004,1018.0481,1017.63,1017.27875,1015.8419,1016.51625,1018.6175,0.4383212252566655,0.8707842273837304,0.991253172951594,1.32693686693137,1.9809124973001029,1.780280540914347,14.163960000000031,13.486540000000048,13.46980000000002,12.95750000000004,14.119470000000035,14.798969999999995,15.138916666666697,0.48257459447574275,14.5602016666667,0.7973684983599272,18.426689166666687,3.962285531238272,1017.6522833333332,0.38515875406343514,1016.8507333333333,0.9411155857105149,1015.9159125,1.3197462588998559,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,21.700770000000038
2024-01-02 06:00:00,0.7436981,1.1103363,4.5564685,289.56726,294.85077,101678.06,0.0,23.25,80.0,21.700770000000038,16.41726,1016.7806,0.0,1.3363882531065965,33.81399203664904,71.92901929015521,6,2,1,2024,2,2024-01-02,0,1.0,6.123233995736766e-17,0.03439806061360801,0.9994082116062598,19.35170000000005,15.69607000000002,14.85238000000004,14.312100000000044,16.06450000000001,21.874300000000005,1017.56875,1018.0481,1017.63,1015.8269,1016.35875,1017.4069,0.7561172479454835,0.4383212252566655,0.8707842273837304,1.4178206844042394,1.886119105325244,1.5802318701800102,15.46407000000005,14.163960000000031,13.486540000000048,13.334600000000025,13.949550000000045,15.677800000000047,16.63338333333337,2.3916285934972157,15.569375000000036,1.91991231287007,18.409499583333357,3.957122016395118,1017.74895,0.2608753198336193,1017.1385416666667,0.8281659431644356,1015.8722145833332,1.2414448614485205,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,22.26077000000004
2024-01-02 07:00:00,1.0708771,1.1587982,4.9264235,289.06754,295.41077,101531.44,1.4305115e-06,23.25,80.0,22.26077000000004,15.91754000000003,1015.3144,0.0014305115,1.5778437918969197,42.74186876007485,67.33409643598212,7,2,1,2024,2,2024-01-02,0,0.9659258262890683,-0.25881904510252063,0.03439806061360801,0.9994082116062598,21.700770000000038,19.35170000000005,15.69607000000002,14.335700000000031,16.181970000000035,22.30068,1016.7806,1017.56875,1018.0481,1016.47875,1015.8531,1016.3969,1.3363882531065965,0.7561172479454835,0.4383212252566655,1.4176507441389798,1.7083496582630764,1.133707698788369,16.41726,15.46407000000005,14.163960000000031,13.303980000000024,13.947720000000004,15.71792000000005,18.916180000000036,3.0259484092264564,16.800820000000034,3.011472727347881,18.40226916666669,3.950669185719124,1017.4658166666667,0.639988684143466,1017.2974916666667,0.5805896842155955,1015.8461187500001,1.2140629564124232,0.0,0.0,0.0,0.0,0.0002781550083333333,0.0010324824746327473,25.02972
2024-01-02 08:00:00,1.3717499,1.0671539,5.002695,289.0564,298.17972,101412.75,4.7683716e-07,23.25,80.0,25.02972,15.90640000000002,1014.1275,0.00047683716,1.7379629554266167,52.11884086457224,56.95026135623493,8,2,1,2024,2,2024-01-02,0,0.8660254037844387,-0.4999999999999998,0.03439806061360801,0.9994082116062598,22.26077000000004,21.700770000000038,19.35170000000005,14.868300000000032,15.188379999999997,25.059470000000037,1015.3144,1016.7806,1017.56875,1017.27875,1015.84,1014.9069,1.5778437918969197,1.3363882531065965,0.7561172479454835,0.991253172951594,1.6176781939891662,1.0515470349323737,15.91754000000003,16.41726,15.46407000000005,13.46980000000002,13.337950000000037,16.61727000000002,21.104413333333376,1.5435034893492625,18.121665000000036,3.4237782709092097,18.400606250000028,3.948964953179743,1016.5545833333334,1.1440437626385047,1017.1034333333332,0.9717802970154414,1015.8010145833333,1.2128185536249456,0.00047683716666666666,0.0008259061996038553,0.00023841858333333333,0.0005840038743638963,0.00025828679583333336,0.001003962610027719,25.26718
2024-01-02 09:00:00,1.2958984,0.6833801,4.8733993,288.5073,298.41718,101318.19,0.0,23.25,80.0,25.26718,15.35730000000001,1013.1819,0.0,1.4650464239055945,62.19548944751568,54.210966613622766,9,2,1,2024,2,2024-01-02,0,0.7071067811865476,-0.7071067811865475,0.03439806061360801,0.9994082116062598,25.02972,22.26077000000004,21.700770000000038,14.85238000000004,14.69457,25.294430000000037,1014.1275,1015.3144,1016.7806,1017.63,1015.5756,1014.2856,1.7379629554266167,1.5778437918969197,1.3363882531065965,0.8707842273837304,1.5696387337019944,0.8486280891832504,15.90640000000002,15.91754000000003,16.41726,13.486540000000048,13.280240000000047,16.50460000000004,22.997086666666693,1.7824417804891346,19.815235000000033,3.9633080181118823,18.39936666666669,3.946787920327187,1015.4075000000001,1.3289979721575838,1016.5782250000001,1.54221692629485,1015.7685395833332,1.2477329454008175,0.0006357828866666666,0.0007283808042001509,0.0003178914433333333,0.0005774784862350832,7.947286083333333e-05,0.00030375579251390694,23.63552000000004
