pair_index,timestamp,match_status,time_difference_minutes,distance_km,variable,era5_value,open-meteo_value,absolute_difference,percent_difference,agreement_flag
5,2024-01-01T05:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
5,2024-01-01T05:00:00Z,MATCHED,0.0,1.808,wind_speed,1.78,1.12,0.66,37.079,SOURCE_DISAGREEMENT
6,2024-01-01T06:00:00Z,MATCHED,0.0,1.808,temperature,21.874,24.8,2.926,11.798,SOURCE_AGREEMENT_MEDIUM
6,2024-01-01T06:00:00Z,MATCHED,0.0,1.808,pressure,1017.407,972.9,44.507,4.375,SOURCE_AGREEMENT_HIGH
6,2024-01-01T06:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
6,2024-01-01T06:00:00Z,MATCHED,0.0,1.808,wind_speed,1.58,1.68,0.1,5.952,SOURCE_AGREEMENT_MEDIUM
7,2024-01-01T07:00:00Z,MATCHED,0.0,1.808,temperature,22.301,26.0,3.699,14.227,SOURCE_AGREEMENT_MEDIUM
7,2024-01-01T07:00:00Z,MATCHED,0.0,1.808,pressure,1016.397,971.5,44.897,4.417,SOURCE_AGREEMENT_HIGH
7,2024-01-01T07:00:00Z,MATCHED,0.0,1.808,rainfall,0.0019,0.0,0.0019,,SOURCE_AGREEMENT_HIGH
7,2024-01-01T07:00:00Z,MATCHED,0.0,1.808,wind_speed,1.134,2.11,0.976,46.256,SOURCE_DISAGREEMENT
8,2024-01-01T08:00:00Z,MATCHED,0.0,1.808,temperature,25.059,26.5,1.441,5.438,SOURCE_AGREEMENT_MEDIUM
8,2024-01-01T08:00:00Z,MATCHED,0.0,1.808,pressure,1014.907,970.6,44.307,4.366,SOURCE_AGREEMENT_HIGH
8,2024-01-01T08:00:00Z,MATCHED,0.0,1.808,rainfall,0.0048,0.0,0.0048,,SOURCE_AGREEMENT_HIGH
8,2024-01-01T08:00:00Z,MATCHED,0.0,1.808,wind_speed,1.052,1.7,0.648,38.118,SOURCE_DISAGREEMENT
9,2024-01-01T09:00:00Z,MATCHED,0.0,1.808,temperature,25.294,26.6,1.306,4.91,SOURCE_AGREEMENT_HIGH
9,2024-01-01T09:00:00Z,MATCHED,0.0,1.808,pressure,1014.286,969.9,44.386,4.376,SOURCE_AGREEMENT_HIGH
9,2024-01-01T09:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
9,2024-01-01T09:00:00Z,MATCHED,0.0,1.808,wind_speed,0.849,1.24,0.391,31.532,SOURCE_DISAGREEMENT
10,2024-01-01T10:00:00Z,MATCHED,0.0,1.808,temperature,23.335,26.2,2.865,10.935,SOURCE_AGREEMENT_MEDIUM
10,2024-01-01T10:00:00Z,MATCHED,0.0,1.808,pressure,1013.899,969.5,44.399,4.379,SOURCE_AGREEMENT_HIGH
10,2024-01-01T10:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
10,2024-01-01T10:00:00Z,MATCHED,0.0,1.808,wind_speed,0.675,0.71,0.035,4.93,SOURCE_AGREEMENT_HIGH
11,2024-01-01T11:00:00Z,MATCHED,0.0,1.808,temperature,23.353,25.6,2.247,8.777,SOURCE_AGREEMENT_MEDIUM
11,2024-01-01T11:00:00Z,MATCHED,0.0,1.808,pressure,1013.758,969.5,44.258,4.366,SOURCE_AGREEMENT_HIGH
11,2024-01-01T11:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
11,2024-01-01T11:00:00Z,MATCHED,0.0,1.808,wind_speed,0.724,0.41,0.314,43.37,SOURCE_DISAGREEMENT
12,2024-01-01T12:00:00Z,MATCHED,0.0,1.808,temperature,22.682,22.1,0.582,2.566,SOURCE_AGREEMENT_HIGH
12,2024-01-01T12:00:00Z,MATCHED,0.0,1.808,pressure,1013.974,969.3,44.674,4.406,SOURCE_AGREEMENT_HIGH
12,2024-01-01T12:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
12,2024-01-01T12:00:00Z,MATCHED,0.0,1.808,wind_speed,1.88,2.0,0.12,6.0,SOURCE_AGREEMENT_MEDIUM
13,2024-01-01T13:00:00Z,MATCHED,0.0,1.808,temperature,22.27,20.6,1.67,7.499,SOURCE_AGREEMENT_MEDIUM
13,2024-01-01T13:00:00Z,MATCHED,0.0,1.808,pressure,1014.188,969.8,44.388,4.377,SOURCE_AGREEMENT_HIGH
13,2024-01-01T13:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
13,2024-01-01T13:00:00Z,MATCHED,0.0,1.808,wind_speed,1.89,1.77,0.12,6.349,SOURCE_AGREEMENT_MEDIUM
14,2024-01-01T14:00:00Z,MATCHED,0.0,1.808,temperature,20.434,19.6,0.834,4.081,SOURCE_AGREEMENT_HIGH
14,2024-01-01T14:00:00Z,MATCHED,0.0,1.808,pressure,1015.212,970.2,45.012,4.434,SOURCE_AGREEMENT_HIGH
14,2024-01-01T14:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
14,2024-01-01T14:00:00Z,MATCHED,0.0,1.808,wind_speed,1.914,1.82,0.094,4.911,SOURCE_AGREEMENT_HIGH
15,2024-01-01T15:00:00Z,MATCHED,0.0,1.808,temperature,18.209,18.8,0.591,3.144,SOURCE_AGREEMENT_HIGH
15,2024-01-01T15:00:00Z,MATCHED,0.0,1.808,pressure,1015.845,970.7,45.145,4.444,SOURCE_AGREEMENT_HIGH
15,2024-01-01T15:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
15,2024-01-01T15:00:00Z,MATCHED,0.0,1.808,wind_speed,1.954,2.1,0.146,6.952,SOURCE_AGREEMENT_MEDIUM
16,2024-01-01T16:00:00Z,MATCHED,0.0,1.808,temperature,18.302,17.7,0.602,3.289,SOURCE_AGREEMENT_HIGH
16,2024-01-01T16:00:00Z,MATCHED,0.0,1.808,pressure,1016.446,971.0,45.446,4.471,SOURCE_AGREEMENT_HIGH
16,2024-01-01T16:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16,2024-01-01T16:00:00Z,MATCHED,0.0,1.808,wind_speed,1.968,1.86,0.108,5.488,SOURCE_AGREEMENT_MEDIUM
17,2024-01-01T17:00:00Z,MATCHED,0.0,1.808,temperature,16.286,17.1,0.814,4.76,SOURCE_AGREEMENT_HIGH
